accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
3096	E-MTAB-2455	microarray_1colour_mrna_differential	Mus musculus						
3097	E-MTAB-2456	rnaseq_mrna_differential	Saccharomyces cerevisiae						
3098	E-MTAB-2493	microarray_1colour_mrna_differential	Homo sapiens						
3099	E-MTAB-2510	rnaseq_mrna_differential	Mus musculus					colorectal cancer	
3100	E-MTAB-2520	microarray_1colour_mrna_differential	Mus musculus	embryonic day 14.5	primary cortical cell				
3101	E-MTAB-2521	rnaseq_mrna_differential	Drosophila melanogaster	adult	stages 5-14 egg chambers	4-6 day			female
3102	E-MTAB-2531	microarray_1colour_mrna_differential	Homo sapiens		umbilical cord blood				
3103	E-MTAB-2533	microarray_1colour_mrna_differential	Homo sapiens						
3104	E-MTAB-2545	microarray_1colour_mrna_differential	Gallus gallus	Hamburger and Hamilton stage 20	wing bud				
3105	E-MTAB-2551	microarray_1colour_mrna_differential	Mus musculus	adult	pancreas	1 year		pancreatic ductal adenocarcinoma	
3106	E-MTAB-2553	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism				
3107	E-MTAB-2560	microarray_1colour_mrna_differential	Rattus norvegicus	neonatal	heart				
3108	E-MTAB-2561	microarray_1colour_mrna_differential	Mus musculus		heart			myocardial infarction	
3109	E-MTAB-2565	microarray_1colour_mrna_differential	Arabidopsis thaliana	lateral root primordium formation stage	lateral root primordium				
3110	E-MTAB-2569	microarray_1colour_mrna_differential	Mus musculus		white adipose tissue	5 month			male
3111	E-MTAB-2580	rnaseq_mrna_differential	Homo sapiens			24 hour			
3112	E-MTAB-2581	microarray_1colour_mrna_differential	Homo sapiens		blood			chronic myelogenous leukemia	
3113	E-MTAB-2582	rnaseq_mrna_baseline	Mus musculus						
3114	E-MTAB-2588	rnaseq_mrna_differential	Physcomitrella patens		protonemata; protonemata and young gametophore	14 day; 6 day			
3115	E-MTAB-2596	rnaseq_mrna_baseline	Bos taurus		adipose tissue; duodenum; hypothalamus; kidney; liver; lung; muscle tissue				male
3116	E-MTAB-2601	microarray_1colour_mrna_differential	Homo sapiens						
3117	E-MTAB-2602	rnaseq_mrna_differential	Homo sapiens						
3118	E-MTAB-2608	microarray_1colour_mrna_differential	Mus musculus						
3119	E-MTAB-2610	microarray_1colour_mrna_differential	Homo sapiens						
3120	E-MTAB-2660	microarray_1colour_mrna_differential	Mus musculus		brain			glioblastoma multiforme	
3121	E-MTAB-2670	microarray_1colour_mrna_differential	Homo sapiens	Day 10 Early plasma cell					
3122	E-MTAB-2680	microarray_1colour_mrna_differential	Homo sapiens		cord blood				
3123	E-MTAB-2684	rnaseq_mrna_differential	Mus musculus						
3124	E-MTAB-2690	rnaseq_mrna_baseline	Homo sapiens		adrenal gland; bone marrow; brain			neuroblastoma	
3125	E-MTAB-2706	rnaseq_mrna_baseline	Homo sapiens		adrenal gland; blood; bone marrow; bone tissue; brain; breast; caecum; cartilage tissue; chordate pharynx; colon; esophagus; ileum; kidney; liver; lung; lymph node; nasal septum; oral cavity; ovary; pancreas; pleura; prostate gland; rectum; skeletal muscle tissue; stomach; testis; tongue; urinary bladder; uterine cervix; uterus; zone of skin	1 year; 10 year; 11 year; 12 year; 13 year; 14 year; 15 year; 17 year; 18 year; 2 year; 20 year; 22 year; 23 year; 24 year; 25 year; 26; 26 year; 27 year; 29 year; 3 year; 30 year; 32 year; 33 year; 34 year; 35 year; 36 year; 37 year; 38 year; 39 year; 4 year; 40 year; 41 year; 42 year; 43 year; 44 year; 45 year; 46 year; 47 year; 48 year; 49 year; 50 year; 51 year; 52; 52 year; 53 year; 54 year; 55 year; 56 year; 57 year; 58 year; 59 year; 6 year; 60 year; 61 year; 62 year; 63 year; 64 year; 65 year; 66 year; 67 year; 68 year; 69 year; 7 year; 70 year; 71 year; 72 year; 73 year; 74 year; 75 year; 76 year; 77 year; 78 year; 79 year; 80 year; 82 year; 85 year; 9 month; not available		B-cell lymphoma; Ewing's sarcoma; Hodgkin's lymphoma; acute T cell leukemia; acute lymphoblastic leukemia; acute monocytic leukemia; acute myelogenic leukemia; acute myeloid leukemia; anaplastic large cell lymphoma; breast adenocarcinoma; breast anaplastic carcinoma; breast carcinoma; breast ductal adenocarcinoma; breast ductal carcinoma in situ; breast fibrocystic disease; breast medullary carcinoma; breast synovial sarcoma; bronchoalveolar adenocarcinoma; cecum adenocarcinoma; cecum carcinoma; cervical adenocarcinoma; cervical carcinoma; cervical squamous cell carcinoma; chondrosarcoma; chronic myelogenic leukemia; chronic myelogenous leukemia; colon adenocarcinoma; colon carcinoma; diffuse large B-cell lymphoma; diffuse mixed lymphoma; endometrioid adenocarcinoma; erythroleukemia; gastric adenocarcinoma; gastric adenosquamous carcinoma; gastric carcinoma; gastric tubular adenocarcinoma; glioblastoma; glioma; granulosa cell tumor; hepatocellular carcinoma; ileum adenocarcinoma; immunoblastic large cell lymphoma; large cell lung carcinoma; leukemia; lung adenocarcinoma; lung adenosquamous carcinoma; lung anaplastic carcinoma; lung carcinoid tumor; lung carcinoma; lung fibrosarcoma; lung mucoepidermoid carcinoma; lung papillary adenocarcinoma; lymphoma; malignant Burkitt's lymphoma; melanoma; mesothelioma; metastatic melanoma; multiple myeloma; myelodysplasia; nasal septum squamous cell carcinoma; nasopharyngeal carcinoma; nasopharyngeal squamous cell carcinoma; neuroblastoma; non-Hodgkin's lymphoma; non-small cell lung carcinoma; normal at the time of derivation; oral cavity squamous cell carcinoma; osteosarcoma; ovarian adenocarcinoma; ovarian carcinoma; ovarian clear cell adenocarcinoma; ovarian leiomyosarcoma; ovarian papillary serous adenocarcinoma; ovarian serous cystadenocarcinoma; ovarian teratoma; pancreatic adenocarcinoma; pancreatic adenosquamous carcinoma; pancreatic carcinoma; pancreatic ductal adenocarcinoma; pancreatic in situ ductal carcinoma; pancreatic islet cell carcinoma; pancreatic tubular adenocarcinoma; plasmacytoma; prostate adenocarcinoma; prostate carcinoma; rectal adenocarcinoma; renal adenocarcinoma; renal carcinoma; renal cell carcinoma; renal clear cell adenocarcinoma; renal leiomyoma; rhabdomyosarcoma; skin squamous cell carcinoma; small cell lung carcinoma; squamous cell carcinoma; squamous cell lung carcinoma; testicular carcinoma; tongue dysplasia; tongue squamous cell carcinoma; transitional cell carcinoma of kidney; unknown adrenal cancer; urinary bladder transitional cell carcinoma; uterine adenocarcinoma	female; male; not available
3126	E-MTAB-2720	microarray_1colour_mrna_differential	Mus musculus	embryonic day 11	brain				female
3127	E-MTAB-2727	microarray_1colour_mrna_differential	Mus musculus		heart				
3128	E-MTAB-2732	microarray_1colour_mrna_differential	Mus musculus		left ventricle myocaridum				
3129	E-MTAB-2740	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	intestine	3 to 5 days post-eclosion			female
3130	E-MTAB-2741	microarray_1colour_mrna_differential	Mus musculus	adult	mammary gland	10 week		normal	
3131	E-MTAB-2746	microarray_1colour_mrna_differential	Homo sapiens	adult	pancreas				
3132	E-MTAB-2751	microarray_1colour_mrna_differential	Mus musculus		heart; lung				male
3133	E-MTAB-2754	rnaseq_mrna_differential	Gallus gallus						
3134	E-MTAB-2758	rnaseq_mrna_differential	Homo sapiens		ovary			ovarian carcinoma	
3135	E-MTAB-2762	rnaseq_mrna_differential	Mus musculus		cerebral cortex				female
3136	E-MTAB-2764	rnaseq_mrna_baseline	Hordeum vulgare subsp. vulgare	seed germination stage	plant embryo and radicle	4 day			
3137	E-MTAB-2770	rnaseq_mrna_baseline	Homo sapiens		autonomic ganglion; biliary system; bone; breast; central nervous system; cervix; endometrium; esophagus; fibroblast; hematopoietic system and lymphoid system; kidney; large intestine; liver; lung; ovary; pancreas; pleura; prostate; salivary gland; skin; small intestine; soft tissue; stomach; thyroid gland; upper digestive tract; urinary tract			Askin tumor; B-cell acute lymphoblastic leukemia; B-cell non-Hodgkins lymphoma; B-cell prolymphocytic leukemia; Barrett adenocarcinoma; Burkitts lymphoma; Epstein-Barr virus-related Burkitt lymphoma; Ewing sarcoma; Hodgkins lymphoma; Mantle cell lymphoma; T-cell acute lymphoblastic leukemia; acute myeloid leukemia; acute promyelocytic leukemia; adenosquamous lung carcinoma; adrenal gland neuroblastoma; adult B acute lymphoblastic leukemia; adult T acute lymphoblastic leukemia; adult T-cell leukemia/lymphoma; adult acute megakaryoblastic leukaemia; adult acute monocytic leukemia; adult acute myeloid leukemia; alveolar rhabdomyosarcoma; amelanotic melanoma; ampulla of Vater adenocarcinoma; anaplastic astrocytoma; anaplastic large cell lymphoma; astrocytoma; atypical teratoid rhabdoid tumor; basaloid squamous cell carcinoma; bladder carcinoma; bladder squamous cell carcinoma; bladder transitional cell carcinoma; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; bone giant cell tumor; breast adenocarcinoma; breast carcinoma; breast ductal adenocarcinoma; bronchioloalveolar carcinoma; bronchoalveolar adenocarcinoma; bronchogenic carcinoma; cecum adenocarcinoma; cervical adenocarcinoma; cervical squamous cell carcinoma; childhood B acute lymphoblastic leukemia; childhood T acute lymphoblastic leukemia; childhood T lymphoblastic lymphoma; childhood acute megakaryoblastic leukemia; childhood acute monocytic leukemia; childhood acute myeloid leukemia; childhood acute myeloid leukemia with maturation; cholangiocarcinoma; chondrosarcoma; chronic eosinophilic leukemia; chronic lymphocytic leukemia; chronic myelogenous leukemia; clear cell renal carcinoma; colon adenocarcinoma; colon carcinoma; colorectal carcinoma; cutaneous T-cell lymphoma; cutaneous melanoma; desmoplastic medulloblastoma; diffuse large B-cell lymphoma; duodenal adenocarcinoma; embryonal rhabdomyosarcoma; endometrial adenosquamous carcinoma; endometrial carcinoma; endometrial endometrioid adenocarcinoma, variant with squamous differentiation; endometrial stromal sarcoma; endometrium adenocarcinoma; erythroleukemia; esophageal adenocarcinoma; esophageal squamous cell carcinoma; extrarenal rhabdoid tumor; fibrosarcoma; follicular thyroid carcinoma; gallbladder carcinoma; gastric adenocarcinoma; gastric adenosquamous carcinoma; gastric carcinoma; gastric small cell neuroendocrine carcinoma; gastric tubular adenocarcinoma; glioblastoma; gliosarcoma; head and neck squamous cell carcinoma; hepatoblastoma; hepatocellular carcinoma; hereditary thyroid gland medullary carcinoma; high grade ovarian serous adenocarcinoma; hilar cholangiocarcinoma; hypopharyngeal squamous cell carcinoma; intrahepatic cholangiocarcinoma; invasive ductal carcinoma; invasive lobular carcinoma; large cell lung carcinoma; laryngeal squamous cell carcinoma; leiomyoma, epithelioid; lung adenocarcinoma; lung carcinoid tumor; lung giant cell carcinoma; malignant epithelioid mesothelioma; malignant ovarian Brenner tumor; malignant rhabdoid tumour; medulloblastoma; melanoma; meningioma; mesothelioma; metastatic melanoma; mucinous gastric adenocarcinoma; multiple endocrine neoplasia; multiple myeloma; mycosis fungoides; myelodysplastic syndrome; neuroblastoma; non-small cell lung carcinoma; normal cell line; oligodendroglioma; oral squamous cell carcinoma; osteosarcoma; ovarian adenocarcinoma; ovarian carcinoma; ovarian clear cell adenocarcinoma; ovarian cystadenocarcinoma; ovarian endometrioid adenocarcinoma; ovarian granulosa cell tumour; ovarian leiomyosarcoma; ovarian mucinous adenocarcinoma; ovarian mucinous cystadenocarcinoma; ovarian serous adenocarcinoma; ovarian serous cystadenocarcinoma; pancreatic adenocarcinoma; pancreatic adenosquamous carcinoma; pancreatic carcinoma; pancreatic ductal adenocarcinoma; pancreatic somatostatinoma; papillary lung adenocarcinoma; papillary renal cell carcinoma; papillary thyroid carcinoma; pharyngeal squamous cell carcinoma; pleural mesothelioma; primary effusion lymphoma; primitive neuroectodermal tumor; prostate carcinoma; pulmonary mucoepidermoid carcinoma; rectal adenocarcinoma; rectosigmoid adenocarcinoma; renal cell adenocarcinoma; renal cell carcinoma; rhabdoid tumor of the kidney; rhabdomyosarcoma; salivary gland squamous cell carcinoma; sarcomatoid mesothelioma; signet ring cell gastric adenocarcinoma; small cell lung carcinoma; squamous cell breast carcinoma, acantholytic variant; squamous cell lung carcinoma; squamous papilloma; thyroid gland sarcoma; thyroid gland squamous cell carcinoma; thyroid gland undifferentiated (anaplastic) carcinoma; tongue squamous cell carcinoma; transitional cell carcinoma of kidney; unclassified pleomorphic sarcoma; undifferentiated carcinoma; ureter urothelial carcinoma; uterine carcinosarcoma; uterine leiomyosarcoma; uterine sarcoma; vulvar leiomyosarcoma	
3138	E-MTAB-2777	microarray_1colour_mrna_differential	Mus musculus		adipose tissue	40 week; 8 week			
3139	E-MTAB-2782	microarray_1colour_mrna_differential	Mus musculus	adult; mature adult; mature young; old; pup; young	liver	14 day; 180 day; 21 day; 30 day; 365 day; 60 day; 7 day; 730 day; 90 day			female
3140	E-MTAB-2790	microarray_1colour_mrna_differential	Mus musculus						
3141	E-MTAB-2791	rnaseq_mrna_differential	Mus musculus		islet of Langerhans	12 to 14 week			
3142	E-MTAB-2797	rnaseq_mrna_baseline	Gallus gallus		brain; colon; heart; kidney; liver; lung; skeletal muscle tissue; spleen; testis				
3143	E-MTAB-2798	rnaseq_mrna_baseline	Bos taurus		brain; colon; heart; kidney; liver; lung; skeletal muscle tissue; spleen; testis				
3144	E-MTAB-2799	rnaseq_mrna_baseline	Macaca mulatta		brain; colon; heart; kidney; liver; lung; skeletal muscle tissue; spleen; testis				
3145	E-MTAB-2800	rnaseq_mrna_baseline	Rattus norvegicus		brain; colon; heart; kidney; liver; lung; skeletal muscle tissue; spleen; testis				
3146	E-MTAB-2801	rnaseq_mrna_baseline	Mus musculus		brain; colon; heart; kidney; liver; lung; skeletal muscle tissue; spleen; testis				
3147	E-MTAB-2809	rnaseq_mrna_baseline	Hordeum vulgare subsp. vulgare	15 days post-anthesis; 4-day embyros dissected from germinating grains; 5 days post-anthesis; LP.06 six leaves visible stage; developing inflorescence (1-1.5 centimeter); seedling (10 centimeter shoot stage); young developing inflorescence (5 millimeter)	3rd internode tiller; caryopsis (15 dpa); caryopsis (5 dpa); germinating embryo; grain, bracts removed; inflorescence; inflorescence (1 cm); inflorescence (5 mm); internode; plant embryo; root; root (seedling); shoot; shoot (seedling)				
3148	E-MTAB-2812	rnaseq_mrna_baseline	Caenorhabditis elegans	3-fold embryo Ce; 4-cell embryo Ce; L1 larva Ce; L2 larva Ce; L2d-dauer molt Ce; L3 larva Ce; L4 larva Ce; adult Ce; dauer larva Ce; elongating embryo Ce; embryo Ce; enclosing embryo Ce; fully-elongated embryo Ce; gastrulating embryo Ce; late cleavage stage embryo Ce; newly molted young adult hermaphrodite Ce; post dauer stage Ce; proliferating embryo Ce	NSM; gonad; motor neuron; neuron; organism; pharyngeal muscle cell; somatic cell	-150 minute,20-170 minute,50-200 minute; 140-290 minute,,110-300 minute,80-270 minute; 200-350 minute,170-320 minute; 320-470 minute,230-380 minute,260-410 minute,290-440 minute; 350-500 minute,380-530 minute,440-590 minute,470-620 minute,410-560 minute; 530-680 minute,560-710 minute,500-650 minute; 590-740 minute,650-800 minute,680-830 minute,620-770 minute	daf-2(e1370)III.; dpy-20(e1362) IV; evIs111.,wild type genotype; glp-1,wild type genotype; him-8(e1489)IV.; lin-35(n745) I.,wild type genotype; rdIs4 [ehn-3aVENUS (delta)] ?; xol-1 (y9) X]; spe-9(hc88)I.,wild type genotype; vsIs45 [tph-1GFP],wild type genotype; wild type genotype		hermaphrodite; male
3149	E-MTAB-2832	microarray_1colour_mrna_differential	Rattus norvegicus	adult	heart				
3150	E-MTAB-2836	rnaseq_mrna_baseline	Homo sapiens	adult	adipose tissue; adrenal gland; bone marrow; cerebral cortex; colon; duodenum; endometrium; esophagus; fallopian tube; gall bladder; heart; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate gland; saliva-secreting gland; skeletal muscle tissue; small intestine; spleen; stomach; testis; thyroid gland; urinary bladder; vermiform appendix; zone of skin				female; female,male
3151	E-MTAB-2845	microarray_1colour_mrna_differential	Mus musculus		lung				
3152	E-MTAB-2847	microarray_1colour_mrna_differential	Homo sapiens		umbilical cord blood				
3153	E-MTAB-2848	rnaseq_mrna_baseline	Papio anubis		bone marrow; cerebellum; colon; frontal cortex; heart; kidney; liver; lung; lymph node; pituitary gland; skeletal muscle tissue; spleen; temporal lobe	6 years 2 months			female
3154	E-MTAB-2863	microarray_1colour_mrna_differential	Mus musculus			110 week			
3155	E-MTAB-2870	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	3 week			
3156	E-MTAB-2905	microarray_1colour_mrna_differential	Mus musculus		liver				
3157	E-MTAB-2906	microarray_1colour_mrna_differential	Danio rerio		liver				
3158	E-MTAB-2908	rnaseq_mrna_differential	Gallus gallus		ileum; lung				
3159	E-MTAB-2909	rnaseq_mrna_differential	Anas platyrhynchos		ileum; lung				
